Chapter,Disease,ID,,,,ICD9_CODE,TA,SHORT_TITLE,Count of HADM_ID,Adverse Effect,Disease,,
001-139,Bacterial Infection,001-139Bacterial Infection,,,,0010,001-139,Cholera d/t vib cholerae,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
001-139,Fungal Infection,001-139Fungal Infection,,,,0011,001-139,Cholera d/t vib el tor,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
001-139,Hepatitis C,001-139Hepatitis C,,,,0019,001-139,Cholera NOS,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
001-139,Int inf clstrdium dfcile,001-139Int inf clstrdium dfcile,,,,0020,001-139,Typhoid fever,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
140-239,Hepatocellular Carcinoma (HCC),140-239Hepatocellular Carcinoma (HCC),,,,0021,001-139,Paratyphoid fever a,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
140-239,Metastatic Cancer,140-239Metastatic Cancer,,,,0022,001-139,Paratyphoid fever b,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
140-239,Secondary malig neo bone,140-239Secondary malig neo bone,,,,0023,001-139,Paratyphoid fever c,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
240-279,Diabetes (Type 2),240-279Diabetes (Type 2),,,,0029,001-139,Paratyphoid fever NOS,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
240-279,Fluid Electrolyte Disorders,240-279Fluid Electrolyte Disorders,,,,0030,001-139,Salmonella enteritis,2,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
240-279,Hypothyroidism,240-279Hypothyroidism,,,,0038,001-139,Salmonella infection NEC,2,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
240-279,Obesity,240-279Obesity,,,,0031,001-139,Salmonella septicemia,1,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
280-289,Anemia,280-289Anemia,,,,0039,001-139,Salmonella infection NOS,1,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
280-289,Blood Loss Anemia,280-289Blood Loss Anemia,,,,00320,001-139,Local salmonella inf NOS,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
280-289,Deficiency Anemias,280-289Deficiency Anemias,,,,00321,001-139,Salmonella meningitis,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
290-319,Anxiety state NOS,290-319Anxiety state NOS,,,,00322,001-139,Salmonella pneumonia,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
290-319,Depression,290-319Depression,,,,00323,001-139,Salmonella arthritis,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
290-319,Psychoses,290-319Psychoses,,,,00324,001-139,Salmonella osteomyelitis,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
290-319,Tobacco use disorder,290-319Tobacco use disorder,,,,00329,001-139,Local salmonella inf NEC,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
320-389,Iritis or other eye disorder,320-389Iritis or other eye disorder,,,,0041,001-139,Shigella flexneri,3,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
320-389,Neuropathy in diabetes,320-389Neuropathy in diabetes,,,,0048,001-139,Shigella infection NEC,1,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
320-389,Paralysis,320-389Paralysis,,,,0049,001-139,Shigellosis NOS,1,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
320-389,Sleep apnea,320-389Sleep apnea,,,,0040,001-139,Shigella dysenteriae,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
390-459,Atherosclerosis,390-459Atherosclerosis,,,,0042,001-139,Shigella boydii,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
390-459,Cardiac arrhythmia,390-459Cardiac arrhythmia,,,,0043,001-139,Shigella sonnei,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
390-459,Heart failure,390-459Heart failure,,,,00581,001-139,Food poisn d/t v. vulnif,2,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
390-459,Hypertension,390-459Hypertension,,,,0051,001-139,Botulism food poisoning,1,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
390-459,Ischaemic heart disease,390-459Ischaemic heart disease,,,,0059,001-139,Food poisoning NOS,1,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
390-459,Valvular Disease,390-459Valvular Disease,,,,0050,001-139,Staph food poisoning,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
460-519,Chronic Pulmonary Disease,460-519Chronic Pulmonary Disease,,,,0052,001-139,Food pois d/t c. perfrin,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
